,loading_comp1_estimate,loading_comp1_68%_low,loading_comp1_68%_upper,loading_comp1_95%_low,loading_comp1_95%_upper,loading_comp1_99%_low,loading_comp1_99%_upper,loading_comp1_99.7%_low,loading_comp1_99.7%_upper,loading_comp1_consistency
ADHDeur6,0.14828490885813572,0.11449454404789891,0.1866355457919241,0.08919724109026206,0.2611707237088875,0.07079667766237048,0.3137197873403259,0.06242534478410671,0.3495276658860431,0.367
CPeur2,-0.8659178834273947,-0.8926300225538384,-0.8395994250784563,-0.9078309286389492,-0.7723059921242494,-0.9148801255640678,-0.620803986292091,-0.9213419195290123,-0.4031699822241779,0.9994
EAeur1,-0.7480787067651337,-0.7657974006390198,-0.689776657496959,-0.7999701949414301,-0.643315939908266,-0.8216551714207799,-0.5803078434963499,-0.838543898680094,-0.48205819724835064,0.9998
MDDeur6,0.1056874470022975,0.0781563792065216,0.12141151216501228,0.05099270635463315,0.14207278240290797,0.023923071226994247,0.15614321348980237,-0.011920007375653373,0.16464721059833426,0.003
INSOMNIAeur6,0.07197014497905847,0.05319347209919456,0.0865550331518839,0.03536183712749705,0.10584760674654378,0.01809356731958603,0.13933408678839282,-0.002022250284014098,0.1772813131167962,0.016
SNORINGeur1,0.06679712788790182,0.040850313854032455,0.09864448297754398,0.021691167429539384,0.16703830643419978,0.009313071579634553,0.2566098537338583,-0.0006583357151759132,0.39427315430338794,0.2348
IQeur2,-0.8786296041265502,-0.9018356290629986,-0.8536246680790253,-0.9163437127273145,-0.7934694203626754,-0.924308343702576,-0.6445379390724552,-0.9276751655697305,-0.42902607950755534,0.9996
PTSDmeta6,0.04974587283109541,0.030519024284909622,0.0627105628132493,0.012896915143656216,0.07798920553999455,-5.912907915481176e-05,0.09669204623655805,-0.022562503635380475,0.1291941248314307,0.0124
DEPmulti,0.18061512657720055,0.15754792344535828,0.21390415279988753,0.1355554040719858,0.28086960269260597,0.11580779010012494,0.3416498947683041,0.08960113754001499,0.37634984946156874,0.3228
BMImulti,0.3247123847268058,0.19608751172917782,0.37712445559732877,0.15520526982399332,0.49868529037067777,0.12974396706783536,0.6339115947984135,0.1027342353728301,0.747906582178238,0.8706
ALCDEP_METAauto,0.08502616767449969,0.06504971598702017,0.10030645875024646,0.04904627310721542,0.14526619686541195,0.038903588010163456,0.18931945356784835,0.024161906201892167,0.2182602265115421,0.1206
ASDauto,0.002982778584387473,-0.011526297488158197,0.017014589650523916,-0.026460732630623273,0.03660465507301733,-0.03948587735729911,0.08259178275764226,-0.07562074550559425,0.1094180947032456,0.0316
ASPauto,-0.2684053261566856,-0.33077386566226136,-0.17267128803382706,-0.4242315474586974,-0.13912278977053724,-0.48828114141650614,-0.10045305365038275,-0.5302388683696027,-0.06781748840567031,0.7016
