,loading_comp1_estimate,loading_comp1_68%_low,loading_comp1_68%_upper,loading_comp1_95%_low,loading_comp1_95%_upper,loading_comp1_99%_low,loading_comp1_99%_upper,loading_comp1_99.7%_low,loading_comp1_99.7%_upper,loading_comp1_consistency
density,-0.10404656171410871,-0.3252250289435792,0.14991940191599085,-0.49465135268764576,0.3957343343107515,-0.5968237683115973,0.556578858663078,-0.6443934091280408,0.6303530670454763,0.0556
deg_L-BSTS,0.09892170613595895,-0.0055744311994397324,0.1908714143602742,-0.08665855184893759,0.2859357173330845,-0.14156837045533502,0.33674796081995617,-0.17927728261245335,0.3544041221353894,0.9986
deg_L-CACG,0.13144267148106364,0.04358019151747713,0.19751189347701495,-0.04085674608038272,0.2624200535802496,-0.11371453951512295,0.3003148373771964,-0.15925745335549293,0.3198666065893386,0.1546
deg_L-CMFG,0.09808341188032806,-0.009095873889586225,0.1950745095128329,-0.1191285717629766,0.2840751358124764,-0.1955173751678664,0.33486194349210996,-0.24820838945516507,0.3582965737696444,0.2352
deg_L-CU,-0.09844673771392663,-0.17956316783284187,0.012194160365335261,-0.25389923000964987,0.13239397941784,-0.2894814491884889,0.20519526512032282,-0.32337993463073084,0.24895704625714501,0.2234
deg_L-EC,-0.12444083008202843,-0.1471592273736875,-0.07200249027921012,-0.18001631369537116,-0.022362339516880828,-0.19987075370071644,0.0197686047079922,-0.20952514553817786,0.04589777427754046,0.7552
deg_L-FG,0.1628662752775442,0.034393799990455706,0.26830262206127076,-0.10085420001946944,0.3676447528915696,-0.20188022513482737,0.41274580820003837,-0.2807655448868726,0.4479975475022457,0.3248
deg_L-IPG,-0.10051399120711033,-0.2199155159148921,0.04762331732403247,-0.3212471766808742,0.189573580603138,-0.3814684753524291,0.2718533816315147,-0.4272170967458178,0.3268166129414113,0.2288
deg_L-ITG,-0.16524940317651626,-0.2997280826539279,0.008700349299758945,-0.40113552313609463,0.18664062951921886,-0.45491295526634296,0.29990834188274135,-0.498226586860938,0.37105639432961246,0.3316
deg_L-ICG,0.04142266685091401,-0.07568087868586264,0.16043588770473424,-0.16858424098404273,0.2794122018910589,-0.226783296795357,0.34652413586669206,-0.25567370834178615,0.38412655197852313,0.3638
deg_L-LOG,-0.2535917603237523,-0.3663351499836428,-0.08290330626647069,-0.4512210795928868,0.09244565310110933,-0.502611340267347,0.20676121561478364,-0.5392856907304967,0.2755446114359998,0.8922
deg_L-LOFG,-0.18645850770329714,-0.2763551470804666,-0.05887803035829896,-0.3454482282637796,0.08417641468165142,-0.3873758483202322,0.18108485848692313,-0.4090289687195757,0.236993890811247,0.297
deg_L-LG,-0.0807559467384981,-0.17044524089252236,0.030758294449789912,-0.24014109521711163,0.1591373507563383,-0.2888512785554526,0.25492782769784755,-0.3034548039808954,0.30078273109891723,0.5162
deg_L-MOFG,-0.17920797946814354,-0.23954479341794488,-0.08276150856608624,-0.2913881049886807,0.01864985762249348,-0.31996871514756586,0.0874782084724293,-0.3356551434509093,0.1300853413423135,0.8774
deg_L-MTG,-0.3236862556108244,-0.4182402540858171,-0.17017846506323883,-0.48537449730089877,0.026692234734094038,-0.5133365794027152,0.1840671510812681,-0.533412196924656,0.29302750730114413,0.2846
deg_L-PHIG,-0.09344332226044684,-0.14698881224440455,-0.010526312070007525,-0.20424506034254877,0.07671380623944261,-0.2382464790111297,0.1453154362880062,-0.2623258845673831,0.18375408104756524,0.2458
deg_L-PaCG,0.2339682891360909,0.1384548056576246,0.2928095870978952,0.027238124480746594,0.3486893091141404,-0.07720314969753096,0.3756126196806492,-0.14367289441153608,0.39324591025485717,0.017
deg_L-POP,-0.09314425366193113,-0.20370249545128719,0.0363440377842683,-0.30748502531724686,0.15301287476183867,-0.3559874941375981,0.22901280972897914,-0.3912490623763699,0.29239807437264703,0.4802
